frame,id,x1,y1,x2,y2
2,1,306.7283248631002,327.47177911809274,335.5016177329683,346.8402693007307
2,2,344.8260935578387,360.8554764426283,363.5620068137172,377.5326569125049
2,3,256.8183570595177,243.36870663076257,279.61057308790055,257.3603180552319
2,4,336.2738370163771,232.23229237035466,359.9343315413072,257.82110405718583
2,5,322.04459867382457,372.57310031881593,343.99569064127655,394.0078171072935
2,6,557.9378854829215,267.0873001272879,581.4790826858355,284.36552975018884
2,7,588.0181364087214,238.78139097168045,605.4599809280536,255.3577995852338
2,8,464.32509976045924,317.51215052914466,483.7413554794068,332.87904143721
2,9,503.1502867560628,338.7328046028465,522.8256085726322,354.8230934394961
2,10,632.5624282638382,324.5073914428132,649.7563679443804,352.76443751855805
2,12,490.86296286008184,363.71926433337717,507.64948590236816,382.12785396157193
2,13,579.3715224511308,277.2125818548381,598.8553083272299,297.14175265657
2,14,508.2968096543702,230.3889258829852,526.9801020529303,250.2267754665202
2,15,548.9415932191371,226.3353628176532,570.596041735663,250.36736492021058
2,16,539.6369070472156,302.5257364628241,556.8113084622246,328.8687482610795
2,17,410.7539488767175,309.6679912145114,430.3792917870221,326.9205165975524
2,18,276.8457909085181,289.3868375267748,295.9838637985066,314.6072875375303
2,19,322.0659880676043,283.56477736019184,341.07379467236984,306.84032620921255
2,21,386.2009453133265,247.29746443032738,406.22057968745474,270.43406173168154
2,22,452.2467304458243,218.6153410871482,469.3257384678462,242.37387920719678
2,23,239.44813130677267,189.76550240435728,263.8181187647099,211.47500787045428
2,24,270.8961873159584,140.59236172168966,291.88182579651436,157.14465432653066
2,25,485.59674971235575,202.07299823101076,499.2711572844674,218.64082086874072
2,26,668.9782975133404,295.40123899658994,693.0678090938928,307.89022647386355
2,27,213.0793435465813,135.20833521514078,237.31909859473856,156.30135069244247
2,28,237.2354558996113,157.5133562053884,262.6955975332283,184.14635825316483
2,29,400.50051708799117,211.4074142205607,417.285785685562,232.39156533652016
2,30,300.37344207700096,132.45915519725148,320.3765056741293,155.2942258397656
2,31,371.619460185482,362.61844189135127,390.6770920026433,385.21609721951586
2,32,275.07755864392385,220.9272335183279,297.66604628490126,239.09880656409223
2,33,156.91715808071353,164.60701011447472,174.5493353852451,185.66009835674512
2,34,489.3409272835399,193.32818501379924,514.1558339893326,214.9760847002042
2,35,663.1429549750845,269.1828211742103,681.5215432725466,297.31074739086966
2,36,477.26327094476517,368.23172800778656,496.3250239284666,388.299784323741
2,37,255.33991384227846,159.96698143512555,273.9739519358341,180.7467044756855
2,38,565.8389901338948,356.7386565099771,581.6543518064384,378.80791090338477
2,39,530.3186641120767,288.72779639100855,548.3275760244517,303.9116503343304
2,40,624.9686591656011,316.7011836812106,637.9329967733362,335.6352501783886
2,41,427.9720784893737,201.35868480611404,452.9799901157871,217.8789778747586
2,42,353.870205375624,253.1055978575549,376.9777542929238,268.9555763232401
2,44,435.73400706650875,362.95185667646444,452.98963346176674,383.4337124983608
2,45,641.3837271755941,335.4932920396494,665.4090654914052,355.67210010015776
2,46,275.56593704036584,194.00452265769223,300.4511786980785,214.99012154248243
2,47,261.73065477809905,225.69105485363065,284.26759887303075,245.7558678776179
2,48,253.72517164461004,199.7839256521407,279.26636218518837,226.0761351301457
2,50,317.7257258058172,364.12097425239784,330.9607407387175,383.7417183667307
2,51,309.6692250951626,212.402465570878,334.0469071763727,236.60145990098772
2,52,620.8649739266287,205.76359212902491,640.773587432719,224.67665325083905
2,53,371.34183742419054,245.8979031362475,390.93980309649464,264.0353392957787
2,55,301.4654874969028,249.91955716793476,321.411167225228,274.08715315260963
2,56,324.0781193918213,262.9775688392547,344.74054059667503,276.7126440097007
